Tweets	partition	Topics
praying california wildfire	train	2
shit outta cyclone debbie supply	train	3
cyclone debbie hitting brisbane another view	dev	3
cyclone debbie ruining life honest	train	3
saw bbc thought see cyclone debbie monster storm make landfall australia	train	3
threeuksupport thanks guy trying look pug right flood street	train	1
queensland school close ex cyclone debbie brings wild weather south newsqueensland	train	3
achievement unlocked staying pole earthquake	train	0
hooven bud chicago flash flood warning damn day	test	1
father king flood	train	1
massive wildfire alberta creating lot smoke haze downwind see	train	2
realdonaldtrump idiot suppose recall earthquake site shooting	train	0
t rebel rae violetdoll nah notifcations everyone flood people liking one post	train	1
one day able sit across one another past memory flood heart like tsunami	train	1
concerned solar pv system damaged advice video	train	3
omg fire getting close holy fuck rip california	test	2
thanks cyclone debbie school yayaya	train	3
paullewismoney soon china flood market inferior quality steel sold british steel knowing pr	train	1
care puerto rico california wildfire san jose earthquake soldier lost life fighting	train	2
pm california fire danny schmidt	train	2
critter care greatly appreciated fort mcmurray wildfire evacuee	train	2
capitaloneca medium release capital one canada support wildfire relief effort alberta	train	2
houston flood hour ill take hour storm usual	train	1
tasmanian emergency service assist recovery effort following cyclone debbie	train	3
flash flood watch issued part mass torrential rain hit region gt	train	1
exhibit never reason exist australia everything place meant kill	train	3
body found ex cyclone debbie flood	train	3
yo think felt mini earthquake	train	0
vic scammer ask cyclone debbie fund	dev	3
notification get day flash flood warning	test	1
big earthquake end world happen already	dev	0
nea heavy rain expected many area sg hour hour issued hour	dev	1
lil as earthquake	train	0
sadly democrat plan chose globalism amp implementing goal open border flood count	train	1
mr trump california fire might want look one maybe thought amp prayer tweet thought	train	2
hope flood water start receding neighborhood	train	1
yep felt one	train	0
oh hello earthquake	train	0
view km expose cyclone debbie force nature via abcnews	train	3
wildfire northern california killed least people	train	2
people yelling brandon people yelling earthquake know look	train	0
please flood please flood please flood please flood please flood please flood please flood please	train	1
rain stop fort mcmurray wildfire expected double size overnight expert say	test	2
icymi reduced fire restriction place within area blm california desert district read	test	2
felt oakland pm	test	0
active weather day lead flash flood watch	train	1
hi ya due heavy rain pour flood warning closed pm today resume regular ho	test	1
news penny pledge federal support california wildfire rage across state see thes	train	2
causing ground shake go dub	dev	0
sad news little cocky rescued died	train	3
sooo bout earthquake	train	0
drive flood mcknight road	train	1
way help victim wildfire northern california	test	2
santa rosa mile north san jose california life home destroyed wind fire	dev	2
classless trump insult california sending warm respect wildfire jason easley via politicus usa	train	2
yo earthquake listening test press first wow okay	train	0
man lucky flood neighborhood	train	1
family fleeing canada wildfire capture dramatic escape wildfire fort mcmurray area	dev	2
prayer request dozen wildfire ravaging california taking life destroying home pray healin	train	2
real mad neighbor stomping earthquake	train	0
first glimpse blue sky airlie beach lifting spirit big clean ahead abcnews	test	3
ex cyclone debbie major flood hit northern nsw logan gold coast live	train	3
earthquake detector travbtalkinshit	dev	0
california wildfire gave disneyland eerie glow reportedly looked like sun fire	train	2
would like thank cyclone debbie wine mom storm getting class cancelled today	train	3
guess plus side electric gate amp power walk timtams ate	test	3
got fucking kidding fucking tag stolen repaired flood damage	train	1
yerawizzrdharry ridiculous rainfall right started landslide flash flood warning	train	1
wow disney killing spook	train	2
amyleeev dark sth east queensland wet thanks ex tropical cyclone debbie	train	3
ergonenergy power whole nw side gap qld narambi st street	train	3
good reason stay flood water sure	train	3
taking pounding life lost let u keep way proud effort keep u safe	train	3
wonder charge pa insure home lismore	train	3
shocking image devastating wildfire northern california	train	2
smoky sky msp left amp st paul due wildfire smoke lake hattie drifting south	train	2
elonmusk jamesworldspace displaced water flow toward boy flood space currently	dev	1
felt sorry deadly wildfire burning anaheim hill northern california	test	2
shocking image devastating wildfire northern california	train	2
uh seriously considering go work today	train	3
damn anxiety coming hurricane season keep increasing every time get rain get flooded	test	1
really thought dog went head first something nope earthquake sure anyways	train	0
help flood web	train	1
flash flood houston echo hurricane harvey devastation	train	1
another lame as earthquake	train	0
swear lol dog care earthquake sat unbothered	train	0
sitting dark amp feeling bit bummed able fly myriadlive today due	train	3
felt outer sunset	train	0
earthquake messed head whoa	train	0
danlloyd flood cp server bot	train	1
sydney weather wet wild condition ahead ex cyclone debbie drift south sydney morning herald	train	3
enochsearth amen seems deed day noah flood evil prevalent th	train	1
wildfire still uncontained k people could ultimately many awful	dev	2
crazy think earth catching fire california	train	2
canada basketball hope flood talent turn tide global success	train	1
near one south tired shit fire	train	2
flood happen time take day get insurance prepared	train	1
drenched system move south east queensland	test	3
fire chief loses home battle california wildfire via cnn	train	2
california vintner inspect grape check building wildfire	train	2
canadian wildfire disrupts evacuation convoy ft flame wall either side hiway air evac fri amp sat bbcnews	train	2
magnitude occurred mile n crescent oklahoma detail	train	0
apple flood alert like wow got chill	test	1
chilling video show wildfire damage fort mcmurray fort mcmurray fire still	train	2
hope people live helped soon possible fire die	train	2
shit would flood blink eye lol	train	1
river info missouri r near nebraska city ne past crest minor flood cat	dev	1
kinjikins flood always feel like crossing river	train	1
lived backroom thembisa outside toilet used flood rain brag achi	train	1
northern claim life massive blaze spread video	train	2
shark sandbag surfing cyclone debbie brings flood queensland cnn	train	3
musta earthquake born shit faze one bit	train	0
ianaustinmp sussexfriends note flood labour mp resigning protest labour lost brita	train	1
literally made angry heading flood prone area sooooooo	test	1
find something scarier waking flood warning alert	test	1
felt earthquake san francisco strong heard roar rumbling began	train	0
hope enjoyed holiday	train	3
bbc news canada wildfire image show fort mcmurray devastation	train	2
oh yeeeee earthquake	train	0
tune radio hear latest news wollongong s helping qld cyclone debbie	train	3
day torrential rain lead texas worst flooding since hurricane harvey	dev	1
flash flood warning indeed	test	1
void hyper real star war vr make hero void latest flood business offeri	train	1
north queensland school closed cyclone debbie wreaks havoc	test	3
dear nigerian diaspora bcos ure abroad give right flood whatsapp wit message	train	1
good flood situation wonder anything	train	1
jolt lt earthquake gt	train	0
beautiful sunrise haze wildfire smoke	train	2
flood kit soooooooo cool	train	1
hundred call flood launch nation first hotline amejia news	train	1
stop stomping around rek kut pangon sul earthquake deeen	train	0
mattpassmore nataliacigliuti hoping friend family safe cyclone debbie hit queensland f b f b	train	3
earthquake close kavos greece utc	test	0
cyclone debbie getting way activity	test	3
nazi charge working oz giving joy	train	3
good hawaii earthquake animation time intensity depth short video	test	0
xxxx factory went flame today forget cyclone debbie queenslanders proper standstill	train	3
could feel heat back neck global news reporter fort mcmurray wildfire	train	2
smell crazy nw wind directing amp making air quality unhealthy	train	2
fort mcmurray wildfire continues spread	train	2
wildfire update official share latest information deadly wildfire burning california	dev	2
devastating devastated people ca wildfire burn control across northern california dead	train	2
meadow street coventry flood protection trash screen monitoring	train	1
smokey sunrise due lake hattie wildfire	train	2
number help put northern california wildfire perspective	train	2
cyclone debbie move u nth nsw hunkering wet windy evening	test	3
well smoke canadian wildfire	train	2
welp earthquake bay area end near	train	0
short heavy rainfall cause much flooding first time time council counci	train	1
tenant damaged cyclone debbie must continue pay find	train	3
cyclone debbie rain brisbane sydney snow victoria	test	3
kim stanley robinson even apocalyptic flood enough kill capitalism cockroach	train	1
earthquake avalanche change afraid cried hurricane	train	0
let send strong truthful positive message decent america flood twitter good news mu	train	1
california firestorm spread mind bogglingly fast	train	2
need place go get smoke day california academy science free impa	dev	2
canada wildfire image show fort mcmurray devastation gt managed save hospital	train	2
california day already felt earthquake	train	0
felt jolt feel	train	0
cyclone debbie threat multi billion dollar coal export via abcnews	train	3
queendomheartss kh ux na apparently star flood playstore global event reward	train	1
official say least people died home destroyed wildfire burning california	train	2
san francisco experienced minor earthquake	train	0
cat looked looked back shrugged went back sleep	train	0
look like transiting cyclone debbie barkley marathon	train	3
kristen k suck rain hr heavy traffic area flooded	train	1
senatorcollins cyberalliance pas law bum stop flood murderer rapist gang banger drug dea	train	1
small san francisco	train	0
monsoon moisture uptick provide drought relief heighten flood threat southwestern u uptick daily thu	dev	1
mean tell nj went everyone outside sun loving life waking flash flood warning	train	1
california wildfire resident find devastation santa rosa	train	2
airlie beach catering service opened door anyone wanting free feed amazing spirit display	test	3
definitely felt earthquake minute ago	train	0
cyclone debbie monster storm batter australia bbc news bbc news cyclone debbie	dev	3
memory flood reminisce back tbdc first home king street west stay	train	1
wew rain heavy area japan getting flood warning evacuation notice like crazy	test	1
andy friend one felt socal	dev	0
cyclone debbie made way	train	3
remained bed hoped would stop damn prepared	train	0
container delivered cyclone debbie truck full food donation endless	train	3
mystic go outside cyclone debbie holding hostage	train	3
think felt earthquake	train	0
one hour away live update wildfire brush fire california	dev	2
houghton today meeting resident hear see first hand flood devastation beautiful city r	dev	1
yeah nah got mob go extreme length bite	train	3
usa california wildfire devastate silverado trail winery	train	2
appears moist tonight bom warning alert nsw qld ex	train	3
omega block behind searing heat inflaming fort mcmurray wildfire	train	2
wow loud small earthquake	train	0
big earthquake sf peep felt really strong	train	0
cyclone debbie aftermath hamilton island coverage ch adelaide across day pm	train	3
one raindrop think caused flood	train	1
cancellation game due inclement weather due effect ex tropical cyclone debbie prediction	dev	3
thinking everyone qld tropical cyclone debbie collection pic social medium	train	3
help nth qld cyclone debbie please sign cost paid team rubicon	train	3
cyclone debbie brings flood cnn	train	3
jjongie pagar premium pra ver um flood desse rapper kkkk auge	train	1
qld getting hammered queenslanders check family ahead km hr wind amp massive rain	dev	3
never seen school beach public transport university closed like ever cyclone debbie rough	train	3
evacuation underway wildfire tear southern california	train	2
love phone quality also love flood wall minute walk apartment richmond fl	train	1
news cyclone debbie deadly storm batter australia via youtube	train	3
heart go cyclone debbie ily	test	3
still raining gold coast	dev	3
deadly wildfire ravage northern california threaten wine country	train	2
abcbrisbane annastaciamp price hiking profit time permitted act	train	3
tropical cyclone debbie batter australia	train	3
darrenhayes realdonaldtrump hope family safe qld cyclone debbie doozy	train	3
couple killed california wildfire wed year	train	2
help tell earthquake going crazy scared wooooo scared	train	0
canada wildfire evacuee head south new image reveal devastation	train	2
moderate mag earthquake near east coast honshu japan monday may	test	0
mynameisntlucy trying help flood better information	train	1
cousin live fort mcmurray currently enormous wildfire nobody family able contact	train	2
lmfao shit prepared earthquake kmaackinn	train	0
disneyland shrouded smoke california wildfire time	train	2
smoke alberta wildfire reach florida image also aqua satellite friday th	train	2
austrailia dealing cyclone debbie comment reporter went cheeky	train	3
trump say california state deal devastating wildfire ap	train	2
journos covering flood event mackay nsw boarder stay date qcl weather	test	3
suomi npp satellite continues monitor alberta huge wildfire	train	2
risk flooding brahmaputra river northeastern india heavy rain	train	1
youth houstontx water think snake frog etc	train	1
sending love family amp friend affected cyclone debbie amp aftermath stay safe everyone	train	3
kiss mom say goodbye snow end june like melancholia rest normal flood	train	1
doubt check twitter see earthquake	train	0
teto reaction earthquake go look window better get kid earthquake training	dev	0
california wildfire reduces year long dream ember	dev	2
nwsbuffalo anticipate alberta wildfire smoke getting buffalo	test	2
operation underway read detail	dev	1
mass evacuation california wildfire kill least via democracynow	test	2
muddy flood water set ideal time go fishing pa	train	1
keen trip nelson bay weekend damn cyclone debbie really screwed	test	3
fort mcmurray wildfire alberta grows firefighter hope rain	train	2
literally dryer damn sahara hit u flash flood warning stop playing	test	1
apocalyptic california wildfire north south send ten thousand fleeing life via bcnbcn	test	2
interesting creature washed gc beach ex tropical cyclone debbie departed	train	3
stress orientation obtained earthquake focal mechanism appropriate uncertainty estimate	test	0
event get discouraged click easy follow claim reporting guide	train	1
official say home business destroyed dead wine country	train	2
study j amp k river prevent flood approved started yet	train	1
michael heaver westmonsteruk ideal time ukip completely flood constituency candidate	train	1
yo feel earthquake	train	0
dear sf another	train	0
eco terrorist plot second wildfire canada near oil amp gas operation new alert people	train	2
wildfire canada horrible seen hope get rain soon	train	2
night shake berkeley	train	0
guess going toss u water bottle	train	2
fire sound like environmental terrorism hate cali would anything destroy californ	train	2
sadly hoping next national headline stealer turd demise mean fall	train	2
cyclone debbie make landfall australia	train	3
storm popping area flash flood watch careful friend neighbor	train	1
transitioned pretty quickly extreme heat advisory flash flood advisory sudden rainstorm crazy weather	train	1
oh break heart	train	3
wtf earthquake trippen	train	0
via cnn president trump speaks northern california wildfire la vega sho	train	2
day holy moly wet ex cyclone debbie match	train	3
anyone feel earthquake happened	train	0
pretty wild atm stay safe everyone	train	3
cyclone cyclone debbie qld airlie beach	train	3
thegarance exactly distraction bannon said flood medium shit well go	train	1
ya good give like hour sometime week hot as rgv sun take flood	train	1
bbc news cyclone debbie expert fear damage great barrier reef	train	3
htc wildfire mutable segmental phoneme inanimate astride considering job malleable knock cold ojqftj	train	2
realdonaldtrump northern california fire dead acre burned conflaguration home busin	dev	2
lying bed thought cyclone debbie called debbie named know anymore	train	3
ex tropical cyclone debbie really making known ipswich	test	3
thinking individual business impacted	train	3
areal flood warning remain effect part frederick va warren shenandoah county p	train	1
sf little jolt little roll	train	0
need action drug company need white house stop flood kill missouri emergency fun	dev	1
little aussie battler good news amid heartache caused cyclone debbie townsville bulletin rescue	train	3
stay safe dad	test	2
bruh know life group full city folk right bible study earthquake	train	0
debbie cockatoo saved category four cyclone died	train	3
smell like someone burning plastic neighborhood	train	2
anyone uofg community personally affected wildfire fort mcmurray please contact u oneditor uoguelph ca	train	2
entire city flees raging home lost	test	2
therealkripke fort mcmurray ab canada burning due control wildfire need help support plz	train	2
welcome home earthquake felt west oakland anyone else	train	0
wonder uk government offered aid canada	train	2
ok officially taking bed forseeable future poor debbie	test	3
cool earthquake cooking good dammit	train	0
urgent police evacuation message northern gold coast resident issued	dev	3
small earthquake hit convinced san andreas fault going rupture	train	0
strike km e min ago effect reported eyewitness	test	0
report flooded road oakmont verona harmar area	train	1
pop birthday weekend npp election weekend boy going koforidua flood street ton coke money	train	1
poor pup sum mood majority queenslanders today waking extent ex cyclone debbie	train	3
hope everyone okay xx	train	3
live news northern california wildfire kill least injured military time via youtube	train	2
cpps kolodny busy pushing bup flood market long ago	train	1
time ever earthquake saturday person awake twitter	train	0
wildfire burn control across northern california dead via nytimes	dev	2
reason number never going australia	train	3
factor influencing flood risk varied complex solution investment flood resilience	test	1
cyclone australia plz pray neymar	train	3
rookie firefighter mississauga frontlines fort mcmurray wildfire jason munro	train	2
fighting flood water find way plaza dr drain properly casa de color cafe evansville	train	1
people rebuild house business flood zone stuuuupid flood problem going get worse	train	1
water fe walker st flooded forget news mail abcwidebay	dev	3
tfw flash flood warning live top hill feel good	test	1
bnev realdonaldtrump great job nk nuclear test site collapsed earthquake trump nothing	test	0
tc debbie hem hurricane	train	3
graceville train station video emmie lou live coverage channel stream	train	3
assistance available qraa producer small business amp non profit organisatons affected	dev	3
life give obstacle overcome kitchen flood enjoy making new kitchen see kit	train	1
shark sandbag surfing cyclone debbie brings flood queensland cnn cnn shark sandbag surfing	train	3
flood advisory joke	test	1
mute right think going flood allz halmae content	train	1
earthquake hawaii may occurred within	test	0
hank hill gut havin earthquake walk as fat muthafucka	test	0
two day bathtub cyclone debbie	train	3
sad news little cocky rescued died	train	3
dr jim denison california wildfire whose door knock today	train	2
canadian wildfire fort mcmurray alberta seen high sky michigan	train	2
well earthquake though	train	0
let u let flood repercussion give ton aid breaking law wh	train	1
cyclone debbie u weapon upgrade spearing teen birth std	dev	3
never safe drive walk flood water storm producing excessive runoff heavy rainfall	test	1
mmda bout flood makati	dev	1
alberta wildfire smoke also lake hattie wildfire smoke heavy north metro	test	2
c global warming lifetime due	train	3
felt little earthquake	train	0
cyclone debbie fuck right	train	3
loved like wildfire	train	2
rain coming rescuer racing time pump water flooded cave	dev	1
wow thought earthquake existence mind powerful ugh	train	0
new video california fire via youtube	train	2
jenny capri pike wildfire leave post apocalyptic aftermath alberta ten thousand jenny capri pike	train	2
committed helping affected wildfire fort mcmurray loan require assistance call	train	2
would assume fact sheet advising problem storm flood laugh look	train	3
explorer forewarned drink water cyclone debbie cause also flooding clearing	train	3
humdinger earthquake bay area alive	train	0
dead bull shark wash severe flood	train	3
crap bad thing old home town torrential rain western japan flood alarm subway	train	1
brooooo tweet flood killing	train	1
know used twice	train	0
going throw bottled water flame	train	2
least people died home business destroyed wildfire california	test	2
thought brother walkin hella loud bitch even home fasholy tiny earthquake	train	0
bart amp stopped operator said earthquake cool	train	0
arguing precisely ann million people ready flood country disin	train	1
earthquake suddenly made warm tf	train	0
everyone need stay calm pwhatch	train	3
dxtraeger brittmchenry solution ignore people trying flood country lo	train	1
whole neighborhood wiped santa rosa wildfire scorch california	train	2
earthquake iwate ken oki magnitude depth km	test	0
omg wa earthquake	train	0
another earthquake bay wbu	train	0
warmest room temperature	train	2
fort mcmurray wildfire explodes acre larger chicago weatherchannel	test	2
yoooo felt earthquake	train	0
waiting tweet asking anyone felt earthquake	train	0
money scam drying quick batman another fire flood drought heatwave prediction	train	1
cyclone debbie context severe storm comparison weather event	train	3
wildfire kill destroy home building california wine count edge market	test	2
cousin family lost home yesterday family safe amp together please pray affe	train	2
smoke flame rise hilton sonoma wine country tubbs fire santa rosa california	train	2
small earthquake sf	train	0
awake earthquake still feel	train	0
wildfire threatening engulf city become powerful created firestorm	train	2
flash flood warning effect pm heavy torrential th	train	1
earthquake happened disrespectful	train	0
intense wildfire actually create lightning storm jwagstaffe cbcnews cbcedmonton	train	2
nobody care bout hurricane right get good hope ya house flood	train	1
got weather alert phone last night glad know work translating word year flood bit disconcerting	dev	1
find offering support victimes including one payday lender	train	3
kid proud lost crackheads let think long enough make earthquake swallow	train	0
least dead missing northern california	train	2
lmao shaking earthquake scared tf outta	train	0
scdot reminds motorist never drive around barrier blocking flooded road inch fast moving fl	dev	1
watch flood gate opened croatia scoring goal	train	1
leave california dc assume moving away natural disaster zone skip earthquake e	test	0
lo help evacuee	dev	2
chad morrison alberta wildfire hectare size	train	2
future mover oil future end higher canadian wildfire hit output related article	test	2
agree brought need stop destruction	train	3
fog give california firefighter edge blaze killed	train	2
even believe happening nightmare	train	2
good morning update regarding cyclone debbie since downgraded tropical low earlier	train	3
missing person report made california wildfire	test	2
well hope dey ready flood cuz lot wild shit wen together fuck	train	1
gr see qldhealthnews family coming together help thanks also staff relieved	train	3
wildfire sweep across northern california dead new york time new york time	train	2
eurot love cat adorable flood	train	1
airnewsalerts canada fort mcmurray wildfire could double size next hour	train	2
green blame cyclone debbie burning coal	train	3
magnitude km hi united state	test	0
sevillathom fan like loiterer made goal flood twitter nonsensical po	train	1
holiday hell hamilton island cyclone debbie via mailonline	train	3
last two hour activity regarding summit info deflati	test	0
asia monster cyclone debbie batter northeast australia	train	3
rt realalexjones photo show massive devastation wrought one worst wildfire california history	dev	2
saeen said fought flood gate open cost lot	train	1
think little earthquake	train	0
helloworldau u champ amp kevin coombs cup townsville go planned following cyclone debbie	train	3
wildfire west canada continues grow	dev	2
rodydu rt teddyboylocsin two day traffic sure massive rain flood traffic slow moved take	train	1
tanamongeau careful babe flooding real bad thanks cyclone debbie c c	train	3
guy sister got stuck flood hour walk water get u	train	1
realdonaldtrump damn job cult koolaid drinker elected stop b	train	2
landslide flood warning heavy rain lash wide area japan mainichi	train	1
theisaiahbell went cave write name part initiation amp heavy rain caused flooding	train	1
local animal shelter capacity flood monitor	train	1
work earthquake dancing healing child moment downc	train	0
latest southeast queensland school closed friday due flooding ex cyclone debbie yahoo news	train	3
take good look flood wv greenbrier wv seen nothing yet	train	1
smoke wildfire damage california famed wine country	train	2
pretty bull already upstream	train	3
good grief stop	train	0
smoke plume alberta wildfire entrained deep eastern upper low circulated thru ga atlantic	train	2
mmda flood magallanes	dev	1
bevy debbie peregian beach	train	3
canadian wildfire increase tenfold cut evacuee	train	2
mildly shocked really happened many feel really happen	train	0
entire city evacuated amid massive wildfire cnn	train	2
wildfire size reported acre	train	2
felt earthquake berkeley right	dev	0
battered cyclone debbie cockatoo dy	train	3
felt rumble second anyone else	train	0
cyclone debbie south east queensland prepares powerful flash flooding brisbane time	dev	3
woah boy flash flood time heard report come scanner car submerged water voorhees	train	1
molly knight looking donate california wild fire need good link suggestion	train	2
cyclone debbie lash australian coastal resort	dev	3
cyclone debbie still brisbane km	train	3
red rock blue diamond mountain ranch area severe thunderstorm warning flood advisory	dev	1
tenant home damaged cyclone debbie must continue pay rent	train	3
post update assam flood situation turning disastrous charaideo	train	1
darlenedejohnet happens lot florida rain lot summer street flood much like	dev	1
