text,original_filename
Don #39;t expect Tiger to relinquish his top ranking without a fight,test.csv
Saints Revoke Waiver Claim on Derek Ross (AP),test.csv
"French Take Gold, Bronze in Single Kayak",test.csv
"Swimming: Phelps Wins Gold, Pulls Out of Relay",test.csv
"Liverpool completes signings of Alonso, Garcia",test.csv
Seven seize,test.csv
More gold for Britain as Wiggins strikes,test.csv
Strongwoman hoists 100th gold for Chinese delegation,test.csv
Lithuanians deliver NBA stars another Olympic basketball dunking (AFP),test.csv
"Source: Dolphins, Bears on Verge of Deal (AP)",test.csv
Cricket-Lara mulls over future after England whitewash,test.csv
Fleisher Surges Clear,test.csv
Glory Comes Amid Empty Seats and Closed Shutters,test.csv
Jerkens makes right call with Society Selection,test.csv
"Athletics 5, Devil Rays 0",test.csv
Belarus #39; Nesterenko fastest in women #39;s 100m first round,test.csv
"Work done, Phelps basks in gold glor",test.csv
Lane drives in winning run in ninth,test.csv
Games hammered with controversy,test.csv
Admirers look to 2008,test.csv
Emmons loses gold medal after aiming at wrong target,test.csv
More Newcastle United Stories,test.csv
Ulmer storms to gold,test.csv
Goal-happy Ajax and Feyenoord maintain perfect starts,test.csv
Cycling: Ulmer #39;s scorching times in secret rides,test.csv
Arsenal matches record of 42 league games without a loss on Sunday,test.csv
U.S. Gymnasts Win 3 Medals; Hamm Angry (AP),test.csv
Noguchi Wins Marathon,test.csv
Gatlin Sprints from Unknown to Olympic Gold,test.csv
"GAME DAY RECAP Sunday, August 22",test.csv
SI.com,test.csv
Exhausted Massu Outlasts Fish for Gold,test.csv
Davenport wins in Cincinnati,test.csv
Colin Jackson: Hard lessons learnt in the human laboratory,test.csv
Cink surfaces as Donald sinks,test.csv
Red Sox Rally to Beat White Sox 6-5 (AP),test.csv
Cink Justifies Sutton #39;s Faith,test.csv
ROUNDUP: Franchitti overcomes pit mishap for IRL win,test.csv
Roundup: Pleasantly Perfect takes Pacific Classic,test.csv
Hamm should support Yang,test.csv
"US women avoid disaster, advance",test.csv
Radcliffe withdrawal not due to injury,test.csv
Sports: Graham says he sent the syringe,test.csv
Seattle Mariners Minor League Report - August 23rd,test.csv
Wariner Succeeds Johnson as 400 Meter Champion,test.csv
Chicago OKs Cubs to Play at Wrigley Field (AP),test.csv
US men #39;s basketball routs Angola,test.csv
Patterson gets silver on balance beam,test.csv
Gatlin sprints from unknown to 100m gold,test.csv
Marathon meltdown,test.csv
Japanese joy and British tears,test.csv
"US beats Germany 2-1 in OT, to face Brazil in women #39;s soccer final",test.csv
Dickens Departs,test.csv
"Chargers, Rivers Agree to Deal",test.csv
Chiefs #39; offense too much for Rams in 24-7 victory,test.csv
Dominant US captures gold with 79th straight win,test.csv
Pressure points,test.csv
11th-hour highlights too late,test.csv
Zambrano right at home,test.csv
"Torre Calls a Meeting, and the Yanks Respond",test.csv
Gregg: I will help to close deal,test.csv
Prodigy Adu Learns His Trade at DC United,test.csv
Discus Champion Thrown Out of Games,test.csv
Gardner Loses Quest for Repeat Wrestling Gold,test.csv
Williams' Status at USC Still Unresolved (AP),test.csv
Selig Welcomes Government Help In Steroids Scandal,test.csv
A man with a plan,test.csv
Careening Indians Fall,test.csv
A new Golden Girl,test.csv
Allen Wins Triathlon,test.csv
Brazil Tops Spain for Men's Gold in Beach Volleyball,test.csv
Bryant Prosecutors Question Defense DNA Evidence,test.csv
Pittman misses out,test.csv
Warner to Start for Giants This Week (AP),test.csv
"MLB, Va. Officials Meet",test.csv
AL Wrap: Ortiz Fuels Red Sox Fire as Blue Jays Go Down (Reuters),test.csv
AL Wrap: Ortiz Fuels Red Sox Fire as Blue Jays Go Down,test.csv
Six-month deal for Hoddle at Wolves,test.csv
British sailors bag bronze,test.csv
Morocco #39;s El Guerrouj Olympic champion,test.csv
McClaren happy with striking duo,test.csv
Manchester United cruise into Champions League,test.csv
"Rangers Sign Weekes, Bolster Goaltending (AP)",test.csv
Carter finishes fourth in 400 hurdles,test.csv
Athletics: Dominant Phillips takes long jump gold,test.csv
Jury Selection to Begin in Kobe Bryant Rape Trial,test.csv
Let basketball,test.csv
Goosen takes lead in the BMW Open,test.csv
Hewitt cruises to quarterfinals,test.csv
Changing of the Guard in US Track and Field,test.csv
Torch passed on winning goal,test.csv
"Jets, Pennington Talk",test.csv
AL Wrap: Oakland's Durazo Piles on Misery for Baltimore (Reuters),test.csv
AL Wrap: Oakland's Durazo Piles on Misery for Baltimore,test.csv
Sports: Braves 6 Rockies 4,test.csv
Guo tucks away gold for China,test.csv
Camarillo #39;s Homer Lifts Mexico,test.csv
Athens - a \$12bn bill,test.csv
Anticipation nation,test.csv
A great catch? Lobsters,test.csv
Jacobson Lifts Ryder Cup Hopes with Sparkling 65,test.csv
CSKA sponsor rejects criticism,test.csv
"United States 66, Russia 62",test.csv
Paula #39;s going for gold,test.csv
USOC letter to FIG,test.csv
Friday Focus: Running in the rain,test.csv
Rooney going nowhere unless price is right: Moyes,test.csv
Triathlon: Double for Kiwis in toughest of events,test.csv
'Dream Team' Out of Gold Race After Loss to Argentina,test.csv
American Champion Tim Mack Wins Pole Vault Gold,test.csv
Khan urged to stay amateur,test.csv
UPDATE 1-Rookie Johnson shares Buick lead with Funk,test.csv
Schumacher in uncharted territory,test.csv
Top-ranked Illinois flyin #39; high,test.csv
Daly penciled in for Deutsche Bank,test.csv
"Short Jump, Bad Handoff End Jones #39; Games",test.csv
Fired-up Baggaley takes silver,test.csv
NCAA Wrong To Close Book On Williams,test.csv
Change on the money,test.csv
"Hamm flap, Dream Team just wrong",test.csv
Second seed Dementieva hammered in New Haven,test.csv
Far from fun and Games for Jones,test.csv
US team stumbles,test.csv
Australia win Olympic hockey gold,test.csv
Olympics-U.S. Women Show Men How to Win Gold,test.csv
Britain Edges U.S. for 400M Relay Gold (AP),test.csv
Bovina wins Pilot Pen tournament,test.csv
Hewitt reaches final on Long Island,test.csv
Hewitt advances to Long Island final,test.csv
Bovina ends two-year wait,test.csv
TOMPKINS: Young Brit who fought here has shot at gold,test.csv
Smith saves United,test.csv
We owe Athens an apology,test.csv
Legendary double for El Guerrouj,test.csv
Hamm not looking back,test.csv
Sanderson doesn't let gold out of his grasp,test.csv
US Sprinter Pulled From Relay for Marijuana Violation,test.csv
Schumacher Clinches Seventh Season Title (AP),test.csv
Helm #39;s perfect 10,test.csv
UPDATE 1-Thompson earns Celtic a record win over Rangers,test.csv
"Montgomerie, Donald named as Ryder Cup wildcards",test.csv
Arsenal #39;s winning ways a joy,test.csv
Closing Ceremonies,test.csv
Sheffield day to day with sprained left ankle,test.csv
Italian Wins Marathon... US Finishes Second,test.csv
Warner Will Start for Giants in Opener,test.csv
A  #39;new Greece #39; beams after success of Games,test.csv
Jimenez wins BMW Open with final-round 66,test.csv
Jays power up to take finale,test.csv
"Hewitt, Davenport Top US Open Standings (AP)",test.csv
Angels' Glaus Activated From DL (AP),test.csv
"Ankiel solid in rehab start, unsure about future",test.csv
"El Guerrouj, Holmes book spots in Olympic Pantheon",test.csv
Beijing gears up for 2008,test.csv
Warner Gets the Nod,test.csv
"New Namath Book Is Fact, Not Fiction",test.csv
"Mr. Chang, Strike a Pose",test.csv
ROGER #39;S READY,test.csv
Women #39;s basketball team finds special place in Chancellor #39;s heart,test.csv
A blazing start for Beijing,test.csv
Wakefield goes deep this time,test.csv
Hot pursuit,test.csv
Youngster Khan taken to school,test.csv
Bellhorn makes plenty of noise: Big,test.csv
Robson  #39; Massively Disappointed #39; at Newcastle Exit,test.csv
Defrocked Priest Gets Suspended Sentence for Marathon Attack,test.csv
Language of goals what counts for tongue-tied Ronnie and Michael,test.csv
Man U. and Everton play to scoreless draw,test.csv
FOOTBALL: RAE KNEE SCAN HAS MCLEISH IN A SWEAT,test.csv
Off-day would have been welcomed by Sox,test.csv
Braves Rally to Defeat Giants 7-6 (AP),test.csv
Bryant Jury Selection Behind Closed Doors (AP),test.csv
White Sox Edge Phillies,test.csv
Testaverde accepts Parcells #39; nomination,test.csv
Marlins keep pace in wild-card race,test.csv
Injury brings Brown down,test.csv
Athens coverage a winner for NBC,test.csv
Broncos Running Back Out for Entire Season (AP),test.csv
"Roundup: Illini men rise to top of AP poll, win game",test.csv
Kansas City Royals Team Report - August 31,test.csv
Montreal Expos Team Report - August 31,test.csv
Francis Nixes Hurricanes' Front Office Job (AP),test.csv
Disgraced Greek Sprinters Drug Tested by WADA,test.csv
NL Wrap: Edmonds Double Strike Lifts Cards Over Padres,test.csv
Mariners riding the Ichiro wave,test.csv
Wharf marks debut with wickets,test.csv
Roddick blisters junior champ,test.csv
"Manchester United the only team for me, says Rooney",test.csv
"Three jockeys, one trainer arrested",test.csv
"Compete against your friends, SI experts and celebrities in this &lt;b&gt;...&lt;/b&gt;",test.csv
D #39;Urso suspended by FA,test.csv
"Orioles 8, Devil Rays 0",test.csv
O's Stuff Devil Rays,test.csv
It #39;s got to be Cole on the left,test.csv
He's caught up in hurricane,test.csv
A serving of football EFL style,test.csv
Locals lift Irish squad in Europe tourney,test.csv
Casagrande and Golbano out of Vuelta,test.csv
Smith setback for Windies,test.csv
Media speculate on successor as England coach prepares to step &lt;b&gt;...&lt;/b&gt;,test.csv
"UPDATE 1-Jimenez, Garcia, Donald make Langer a happy man",test.csv
Utes Pile It On,test.csv
Lynch triumphs at Redcar,test.csv
9 in a row! Red Sox sweep Angels,test.csv
The Russians are back,test.csv
No miracle this time,test.csv
"LSU, Oklahoma play openers on Saturday",test.csv
Gerrard only a 50-50 chance,test.csv
A different ball game,test.csv
"MLB: Houston 8, Pittsburgh 6",test.csv
Mauresmo cruises to straight-set victory,test.csv
It #39;s not in the cards,test.csv
"Yankees, Brown go down swinging",test.csv
Symonds century lifts Australia,test.csv
Federer back in Open #39;s fourth round with masterful performance,test.csv
Colo. Town Relieved by Bryant Decision (AP),test.csv
"No. 19 Iowa Dominates Kent St., 39-7 (AP)",test.csv
Quick Duff puts Kerr #39;s men into fast lane,test.csv
Pierce hunts down Sharapova,test.csv
"Singh Takes Two-Shot Lead, Woods Tied for Second",test.csv
Biffle Bests Mears,test.csv
KERR CRUISES INTO LEAD,test.csv
"Canada, Finland rule pools",test.csv
Smith lifts Missouri with all-around effort,test.csv
UConn passes first test,test.csv
Tigers celebrating after Beavers don #39;t get their kicks,test.csv
Sharapova ousted,test.csv
Tom Ridge sets all-age record in winning World Trotting Derby,test.csv
Little guy earns big victory at Open,test.csv
Rossi:  #39;I #39;m fairly happy #39;,test.csv
Kerr happy with Irish win,test.csv
"In the end, goofs sink Jays",test.csv
Lord #39;s smiles on India once more,test.csv
Chicago Bears Cut Bryan Robinson,test.csv
Cycling: Petacchi wins second stage in Spain,test.csv
Yankees' Brown Has Successful Surgery,test.csv
Titans Release No. 3 QB Jason Gesser (AP),test.csv
Jets: Abraham is likely to miss 3 games,test.csv
"Astros 10, Pirates 5",test.csv
"Jags Cut Compton, Maddox (AP)",test.csv
"Couch, Gildon, Levens Among NFL Cuts (AP)",test.csv
CRICKET: Kaspa has selectors in a bind,test.csv
Possible playoff preview A #39;s take a hit in Toronto but come home &lt;b&gt;...&lt;/b&gt;,test.csv
"COL FB: Tennessee 42, UNLV 17",test.csv
Is It Time For Steroid Testing In High Schools?,test.csv
South American World Cup Qualifiers: Brazil Ease Past Bolivia,test.csv
2 charged after Chicago area pals are slain in NC tragedy,test.csv
Donald runs into Ryder form,test.csv
"Sox rookie Diaz dials it up against Ichiro, Mariners",test.csv
Supah Blitz captures Del Mar BC Handicap,test.csv
Japanese baseball players set to strike,test.csv
Super powers make move on September,test.csv
"Red Sox, Schilling roll on",test.csv
Button defends F1 decision,test.csv
Reds pick up Miley #39;s option for 2005,test.csv
Streaking Astros Clock Reds 11-5 (AP),test.csv
Golf's New No. 1,test.csv
Singh knocks Woods from No. 1 with victory at TPC of Boston,test.csv
"Once Again, Mets Sputter Toward End of a Season",test.csv
"NL Wrap: Backe Pitches, Hits Astros to Win Over Reds",test.csv
Longhorns face steeper competition against Razorbacks,test.csv
Yankees Win Controversial Game Against Devil Rays,test.csv
"Vijay around, Tiger not yet out of woods",test.csv
Rugby-Lions accept extra match on 2005 New Zealand tour,test.csv
"Chargers to start Brees in Houston, beyond",test.csv
US Open Tennis: Henin-Hardenne falls to Petrova and blunders,test.csv
King Singh ... at last!,test.csv
SI.com,test.csv
Florida deaths blamed on Hurricane Frances,test.csv
Pass defense lags behind,test.csv
"Cubs, Marlins to make up Frances series with two doubleheaders",test.csv
ROBBO USHERS IN NEW ERA,test.csv
Czech Republic Crushes Sweden 6-1 (AP),test.csv
Study: Athletic success doesn #39;t pay off in donations,test.csv
Marlins Streak By Mets,test.csv
Vijay follows in Tiger #39;s footsteps,test.csv
Capriati unnerves Serena,test.csv
Royals pain for Tigers; KC wins season series,test.csv
Gibbs Won #39;t Take a Pass on This,test.csv
Serena falls to Capriati after chair ump #39;s miscue,test.csv
"Hall had Penn State executing well against Akron, but BC will be &lt;b&gt;...&lt;/b&gt;",test.csv
The Week: No. 1 at Last,test.csv
Hampton Start Is Pushed Back Again (AP),test.csv
England stars refuse to face media despite World Cup soccer &lt;b&gt;...&lt;/b&gt;,test.csv
"Germany, Brazil draw",test.csv
New Rules for Rematch of Colts and Patriots,test.csv
"After Waiting a Long Time, Davenport Keeps It Short",test.csv
"Bonds's Excuse Has the Scent of Snake Oil, Not Arthritis Balm",test.csv
Wind-Aided Delay May Be Plus for Pitt (AP),test.csv
Panis to Retire from Formula One at End of 2004,test.csv
Dream team,test.csv
Trying to recapture glory days,test.csv
Chip shots,test.csv
Transactions,test.csv
Singh rules world that is yet to embrace him,test.csv
Major teams bounce back in World Cup soccer qualifiers,test.csv
Inzaghi fit for start of season,test.csv
San Antonio (15-3) at Chicago (2-12) 8:30 pm EST,test.csv
Shanghai Readies for Rockets-Kings Game (AP),test.csv
Predators sign 2003 first-round pick,test.csv
Quincy Carter being released by the Cowboys,test.csv
Bud Selig Has Skin Cancer Surgery,test.csv
Georgia Receivers Try to Make Their Mark (AP),test.csv
"GAME DAY RECAP Thursday, September 09",test.csv
There #39;s a lot on the line for drivers at Richmond this weekend,test.csv
Patriots Begin Title Defense with Narrow Win Over Colts,test.csv
Roddick bounced,test.csv
"For openers, a great weekend",test.csv
Jim Mora #39;s lucky star Falcons need a healthy Michael Vick,test.csv
US Open keeps it in the family,test.csv
Atlanta police arrest Braves player on DUI charge,test.csv
SportsNetwork Game Preview,test.csv
Atlanta police arrest Braves player on DUI charge,test.csv
Rummenigge - parise for Bayern coach. (Getty Images),test.csv
England v Zimbabwe,test.csv
ESPN Soccernet.com news services,test.csv
Braves hope Furcal #39;s situation doesn #39;t tarnish race,test.csv
Drivers set for mad dash at Richmond,test.csv
Garcia's Girlfriend Charged With Assault (AP),test.csv
Champions Trophy: England rout Zimbabwe,test.csv
Fresno St. Blows Out No. 13 Kansas State (AP),test.csv
Kiwis trample USrookies,test.csv
No. 9 Ohio State Edges Marshall on Last-Second FG,test.csv
Cal Extends Tedford,test.csv
Kuznetsova Tops Dementieva for Open Title,test.csv
Overtime Goal Puts Canada in World Cup Hockey Final,test.csv
American League Game Summary - Minnesota At Detroit,test.csv
"Pudge, Guillen leave with injuries",test.csv
Yankees stay in tune,test.csv
Anniversary remembered on game day,test.csv
Bulldogs shock K-State,test.csv
Callender wins job as starter,test.csv
Dolphins' Fiedler Not Happy About Benching (AP),test.csv
European Tour hopes still high in Canada,test.csv
Senegal #39;s Camara scores first goals for Celtic in 3-0 win,test.csv
Gunners step up gear to top table,test.csv
Germany Cedes 2006 Cup Honor to Brazil (AP),test.csv
Upsets Shake Up College Football Poll (AP),test.csv
Lions #39; Rogers could miss season,test.csv
Ten Orioles pitchers issue 14 BBs as Yanks rally for 9-7 victory,test.csv
Ravens Stumble to Loss,test.csv
Carpentier regains focus for win,test.csv
Cordero sets new club mark,test.csv
Sorenstam wins Hammons Classic,test.csv
Leftwich Snares Stunner,test.csv
Today's schedule,test.csv
Cahill Could Be in the Clear,test.csv
Baseball still learning lessons from '94 strike (USATODAY.com),test.csv
Browns day after: Week one,test.csv
"Italian GP, Race",test.csv
My 50 random musings on the final major championship of the year,test.csv
Sanchez wins; Costa bows out in Bucharest,test.csv
Crazy fan disrupts Weir #39;s round,test.csv
3 Giants Contest Fines Over Team Meetings (AP),test.csv
Major League Baseball Box Score,test.csv
Pros in Olympics still in question,test.csv
"Escobar, Anderson lift Angels",test.csv
"CREDIT: Canadian Press, Reuters",test.csv
Wenger attacks Madrid for transfer rule-bending,test.csv
"Canada, Finland set for WCH final",test.csv
Benitez Plans Tactical Overhaul,test.csv
Zurich abandons bid for 2014 Winter Olympics,test.csv
Piller Out for Months After Arm Surgery (AP),test.csv
Tyncastle sale gets official go ahead,test.csv
Indy 500 qualifying changes aimed at regaining interest,test.csv
VILLENEUVE ON VERGE OF F1 RETURN,test.csv
Eagles Lose OL Andrews,test.csv
Sri Lanka raise England #39;s spirits,test.csv
Mourinho happy after 3-0 win,test.csv
CHAMPIONS LEAGUE: Expect a comfortable night for the Highbury boys,test.csv
Zimbabwe do England a favour,test.csv
Valley Stars Struggle to Settle,test.csv
Schultz re-ups with Wild,test.csv
Nedved to rejoin Czech national team after injury healed,test.csv
"Champions League: Arsenal 1, PSV Eindhoven 0",test.csv
Eagles Bring Back Levens; Place Andrews on IR (Reuters),test.csv
Fish coasts through,test.csv
AL notables,test.csv
"Ryder-You can bank on Tiger, says Sutton",test.csv
Villeneuve and Sauber,test.csv
We need to do well - Benitez,test.csv
Rockies Terminate Neagle's Contract (Reuters),test.csv
THE 35TH RYDER CUP Tiger #39;s Cup doesn #39;t run over with success,test.csv
"As hockey clock strikes 12, Canada reclaims World Cup",test.csv
SportsNetwork Game Preview,test.csv
Moya Upset in First Round of China Open (AP),test.csv
Ferrero advances; Moya stunned in rainy Beijing,test.csv
Hughes allowed to speak to Rovers,test.csv
MCNAMARA RECEIVES GOOD NEWS,test.csv
Inzamam happy with win,test.csv
Canadian Driving Champion Jacques Villeneuve to Join Swiss Team,test.csv
Howe won #39;t be back in 2005,test.csv
GM Plans to Use Woods More Creatively (AP),test.csv
Celtic captain McNamara out for a month,test.csv
Hughes Seals Rovers Return,test.csv
Marlins righthander Burnett to miss Friday #39;s start,test.csv
Devil Rays thumbnails,test.csv
McKenzie Ends Holdout and Returns to Green Bay (Reuters),test.csv
USC Fires Basketball Coach Henry Bibby,test.csv
USA searches for winning formula,test.csv
F1 BOSS LOSES COURT CASE,test.csv
Giants' Stoutmire Tears ACL; Lost for Season,test.csv
Sports: Khalil Greene breaks finger,test.csv
magic number down to 10,test.csv
"Sales #39; 28 points help Sun beat Sting, clinch playoff spot",test.csv
More Troubles For Howard,test.csv
Real Madrid Ponders Biggest Champions League Loss in Four Years,test.csv
Icing call,test.csv
"Big Unit, Not Bonds, Reaches Milestone (AP)",test.csv
UNLV Names Utah's Sanford As Head Coach (AP),test.csv
Toyota confirms signing of Italian driver Jarni Trulli from Sauber,test.csv
TV war puts tour of India in doubt,test.csv
UEFA Introduces Anti-Doping Program,test.csv
Ferrero upset in second round at China Open,test.csv
"In Athens, the other Olympics",test.csv
Villeneuve back in driver #39;s seat and with a point to prove,test.csv
Kluivert gives Souness stuttering start at Newcastle,test.csv
Zeile to catch one last time,test.csv
Hokies to Open ACC Play,test.csv
Tigers Clip Indians 6-4 (AP),test.csv
Red Sox ready to end jinx,test.csv
Many NHL players head for Europe,test.csv
"Woods, Mickelson form dynamic US duo",test.csv
Butt facing ban,test.csv
 #39;Emperor #39; Adriano has Inter under his rule,test.csv
Europe Take Charge at Oakland Hills,test.csv
Butt waits on Uefa ruling,test.csv
USC Fires Basketball Coach Henry Bibby (AP),test.csv
Veteran defender signs with Newcastle; Dyer out with injury,test.csv
Nalbandian Is Stunned at the Chica Open,test.csv
Pa. Golfer Cleared of Not Yelling 'Fore' (AP),test.csv
Trabelsi back on board with Ajax,test.csv
Stellar Putting Gives Europe a 2 - 0 Ryder Cup Lead,test.csv
Paralympics Open in Athens,test.csv
UPDATE 1-Nalbandian suffers Beijing shock,test.csv
Campbell targets City date for Arsenal return,test.csv
Olympics: Athens opens Paralympics with ceremonial extravaganza,test.csv
"Crystal Palace 0, Charlton Athletic 1",test.csv
Pierce longs for old days,test.csv
Charlestown opens up in OT,test.csv
"** For the latest news, please refresh this page regularly **",test.csv
"Subaru World Rally Team - Rally GB, Leg 1 Report",test.csv
Mini World Cup heats up,test.csv
Jaguar Exit Throws F1 Deeper Into Turmoil,test.csv
Colts' Tough Schedule Continues With Tenn. (AP),test.csv
Loeb extends lead over Solberg,test.csv
U.S. Forced to Battle for Ryder Cup Survival,test.csv
Murphy Acquitted of Sexual Abuse Charges,test.csv
Auburn Converts Second Chance to Stun LSU,test.csv
Europe Puts U.S. in Big Hole at Ryder Cup (AP),test.csv
Pitchers finally getting job done? At least it #39;s a start,test.csv
 #39;Noles Rebound,test.csv
Bonds Takes Stock,test.csv
Notables,test.csv
Sloppy win suits Badgers,test.csv
Gordon favored in  #39;chase #39;,test.csv
Owen starts as Real lose,test.csv
Georgia Rides Its Defense to Victory Over Marshall,test.csv
Bojinov Drives Lecce Into First,test.csv
Stuttgart struggles to draw,test.csv
Camacho  #39;quits Bernabeu #39;,test.csv
NFL Wrap: Manning Wins MVP Battle as Colts Overcome Titans,test.csv
Han wins Safeway Classic,test.csv
Busch Takes Over,test.csv
Safin stops Youzhny for China Open title,test.csv
Bears back their coach with win,test.csv
Bryant clinches maiden win,test.csv
Guyanese Batsmen Lead Windies Into Semis Of ICC Champions Trophy,test.csv
Han earns a hand with playoff triumph,test.csv
Momentum shifted on Garcia's stellar play,test.csv
"Bekele, Isinbayeva top track athletes",test.csv
Han wins Safeway in playoff,test.csv
HOW DOES MONTGOMERIE RANK AMONG THE GREATS?,test.csv
United Apology over Website Abuse,test.csv
Bekele and Isinbayeva win Athletes of the Year titles in Monaco,test.csv
Patriots Down Cardinals 23 - 12 Game Stats,test.csv
Aussies ponder pace quartet,test.csv
HEAP OF TROUBLE FOR RAVENS,test.csv
Ankiel Impressing Cardinals in September (AP),test.csv
Silvestre #39;s double goals help Man. United beat Liverpool,test.csv
"Winslow, McAllister, Maddox Among Injured (AP)",test.csv
Garcia a key player in Europeans #39; success,test.csv
George: Loss evicts Marlins #39; playoff hopes,test.csv
James Lawton: In mourning for big fights of Las Vegas,test.csv
Winning NFL Turnover Battle Does Count (AP),test.csv
Golf: Woods #39; bitter sip from cup,test.csv
Man United Midfielder Roy Keane Charged (AP),test.csv
Bears Place Brown on Injured Reserve (AP),test.csv
Maradona finalmente le dice  quot;adis quot; a la Argentina,test.csv
Giants Give Up Right to Void Bonds' Deal (AP),test.csv
Bonds #39; contract reworked; will stage assault on Aaron #39;s record as &lt;b&gt;...&lt;/b&gt;,test.csv
Former Red left hole struggling bullpen has yet to fill,test.csv
Washington chooses a stadium site for Expos,test.csv
The upper hand: McNabb and Eagles down Vikings,test.csv
Giants creep up in division,test.csv
Lab test puts Hamilton #39;s gold at risk,test.csv
Clash of the unpredictables: WI-Pak tie,test.csv
Pantano replaced by Glock,test.csv
First drug cases at Paralympics,test.csv
Team Directors Criticize Hamilton Test Procedure,test.csv
Indian board plans own telecast of Australia series,test.csv
Olympic traffic measures needed at Paralympics: experts,test.csv
MLS MVP Preki Undergoes Ankle Surgery (AP),test.csv
Paralympics: China Surges As First Doping Cases Result In Lifetime &lt;b&gt;...&lt;/b&gt;,test.csv
"CBS Fined  #36;550,000 for Jackson Stunt (AP)",test.csv
Hagans Sizes Up Well,test.csv
"As Mets Look Ahead, They Keep Looking Back",test.csv
