Tweets	partition	Topics
postponed ang album launch concert qatar due inclement weather b darren soloalbum top itunes	train	7
message want deliver aid may easily proceed even strongest hold separatist n	train	0
question second nurse w ebola get cleveland flight info roundtrip reasonable flew roundtrip	train	8
today tc pam appeal day share support going	train	9
foreign minister julie bishop vow continuing support vanuatu cyclone pam foreign minister julie bishop	dev	9
let u coming weekend	train	4
great day cyclone	train	9
prayer affected emergency campaign set	train	10
australia helping vanuatu australian	train	9
question concern starting pm call get phone bank web chat	train	8
major damage philippine typhoon weakens	train	7
breaking employment agency berlin placed quarantine woman visited west africa collapse sign ebola b	train	8
wish donate prime minister relief fund	train	10
share prevention info help stop disease spreading	dev	8
mers iran polio iraq pay attention rise serious infectious disease issue global governance	train	5
pray nepal pray baltimore pray oppressor pray oppressed pray neighbor pray	train	10
really understand anyone making fun earthquake napa really severe damaged people home life	train	1
news via twitter aftershock hit area northern chile tuesday see	train	2
happening set cf lnu ec tacloban w c caters kid	train	7
killed magnitude earthquake nepal usgs	dev	10
amateur radio helping nepal video video effort show world important c	train	10
makati mandaluyong city class suspended level due via radio	train	7
pray nepal sad disaster	train	10
many earthquake happening lately terrified	test	2
nepal earthquake shocking picture summarising tragedy	train	10
star bit kashmir flood victim	train	6
earthquake strike california wine country stuff	test	1
unanswered question regarding new case raise concern disease	train	8
nine killed collision train autorickshaw bihar police	dev	4
brian davis college student shared shot damage reporting live napa http	train	1
keeping everyone philippine prayer stay safe	train	7
little respect gt	train	2
please pray nepal f	test	10
oxfam preparing worst still hopeful storm change course	test	7
photo damage hurricane slammed los cabos mexico mph wind	dev	3
sad continue hear increasing death toll beautiful place	train	10
great army provided free dedicated phone exchange gurkha soldier want speak family n	dev	10
pic send relief good earthquake victim	dev	0
many people shaken awake napa earthquake	train	1
ebola contagious time infection manifestation symptom statement emphasi	train	8
pic speaks thousand word	train	6
new alert system improves earthquake warning california	dev	1
cabo san lucus took direct hit odile morning cat storm major damage reported cabo la paz	train	3
southern yukon territory canada	train	0
pakistan baluchistan earthquake pakistan update september hr	train	0
thanks follow pam	train	9
flood wrecked havoc ajk prayer thought killed injured lost home valuable	train	6
typhoon lash philippine sends million fleeing philippine resident preparin en	train	7
citizen drone video show damage napa earthquake jeff john robert	dev	1
officially declares outbreak commends country diligence end transmission	test	8
center disease control confirms first case deadly mers virus yeah	train	5
goodnight forget pray hawaii amp people affected chile earthquake	train	2
tech failure napa quake power surge led pc damage	train	1
crabmeat almost gone sam good	train	4
prayer people please send positive thought prayer	test	10
episode story dart vanuatu get insight initial step assessment	train	9
troop keep order northern chile quake kill usa today	train	2
typically person displaying symptom ebola able infect others infected unsymptomatic pers	train	8
gotten cure ebola disease	train	8
careful deadly ebola disease stay away people fluid sneeze coughing saliva kissing blood etc	train	8
breaking death toll powerful rise home ministry	train	10
another country need help prayer let u help extent offer	dev	2
thousand homeless heavy rain flash flood wreaks havok india northern region india continued	train	4
live video gt	train	2
happy b day	train	2
anger mount indian kashmir worst flood century	train	6
love thanks special life	train	2
cyclone hit last night power fine	train	9
iaf deployed mi v india flood ravaged northern region jammu kashmir ht	train	6
traveler arabian peninsula protect amp know symptom seek care	train	5
firsthand account aid worker	test	10
u raise question safety nano silver ebola treatment sahara reporter	train	8
devastating hear happening chile moment heart amp prayer everybody tonight	train	2
pagasa make landfall saturday evening eastern samar northern samar area meter storm surge hea	train	7
fatal flaw disease outbreak prevention animal	test	5
max life cut short due winifred sucking question ponder far often	train	8
saudi arabia find another mers case disease spread saudi arabia identified new case middle	train	5
latest odisha flood situation hirakud improves lakh still marooned odisha sun time	test	4
kp govt sends money punjab flood vics s govt rejecting childish amp heartless r one must h	train	6
amazing use napa earthquake affected bay area sleeper	test	1
monsoon dozen people killed flooding northern eastern india death toll nepal passed	test	4
man hold pole strong wind blow brought typhoon legazpi	train	7
napa valley community foundation may able help gather donation quake impact like	train	1
get fact need know person spread disease others	train	8
still crisis mode heart ache everyone cabo damage hurricane surely expected	train	3
photo kashmir deadliest flood decade yahoo news india via omg	train	6
nepal landmark year old dharahara tower collapsed earthquake pray nepal	train	10
island hawaii hawaii september gmt	train	0
thankfully sister little family okay chile	train	2
path hurricane odile destruction seen instagram hurricane odi	train	3
u california environmentalist decry wildfire plan	dev	1
florida show symptom deadly middle eastern virus	train	5
direct hit cat capital port vila worst case scenario playing right	train	9
northern california august gmt	train	1
one largest peacetime evacuation ph history via	test	7
number dead rising injured army unit helping rescue disaster operation	train	0
km n hatillo puerto rico	train	0
dozen people killed flooding northern eastern india dea smartsensors	train	4
dozen feared dead pound pacific island	train	9
awful news nepal mother nature cruel thought go across land affected	test	10
please check new video main support	dev	0
heart go affected napa quake weekend native southern californian	train	1
typhoon hagupit nears philippine people philippine brace typhoon hagupit powerful storm expec	train	7
park shin hye donates nepal earthquake relief fund hunger saver	train	10
bruce jenner still front page yahoo people died earthquake nepal morning	test	10
class suspension december updated pm december	train	7
praying people nepal	test	10
india odisha flood rapid joint need assessment report source sphere india country india executive sum	train	4
number feared missing growing name red cross family link website	train	10
saudi arabia find another mers case disease spread	train	5
earthquake ca sunday led injury property damage amp million hour lost sleep	train	1
agrees many political leader ignoring growing environmental crisis	train	9
pam wiped vanuatu development cyclone pam wiped development vanuatu president say	test	9
please retweet contact point ngo wanting send material col gupta ritanu	dev	10
spread direct contact w bodily fluid infected person w symptom	train	8
saddest way tell people cool suck like controled stupid thing distract u	train	2
video incredible drone footage show scale devastation nepal via	train	10
update u canada allow emergency use tekmiras ebola treatment reuters	dev	8
video anger pakistan flood response	test	6
earthquake magnitude offshore tarapaca chile april utc	train	2
tanya plibersek whatever assist country hit natural disaster	dev	10
n california cleaning strongest quake year wls tv wls tvn california cleaning st	train	1
christian science monitorcyclone pam climate change pacific island ready christian science monit	train	9
cyclone pam cause devastation across	train	9
india spectacular series defeat england set flood angry criticism	train	4
cyclone pam amp vanuatu country totally obscured ferocious cyclone pam	train	9
baltimore nepal emotionally overwhelmed	train	10
sonando en ft pum pam riddim intro	test	9
nepal need help	train	10
federal reserve must help rebuild earthquake stricken region percent disaster loan repayable	train	1
flood fury north india dozen killed lakh affected heavy monsoon rain created flood hav via	train	4
please help contact stranded	train	3
death toll thought blink death toll earthquake rise	train	0
gap year teacher evacuated vanuatu island cyclone pam five australian british volunteer airl	train	9
congress deploys youth volunteer flood hit jammu kashmir help relief measure	dev	6
kashmir famed carpet ruined bn flood loss	test	6
devastating nepal earthquake kill hundred trigger avalanche powerful	train	10
philippine hit typhoon	dev	7
jawbone data show many woke napa earthquake magnitude earth	train	1
lesson learn nepali	train	2
special report hurricane odile damage boat baja latitude	train	3
defense conceded le u time look	train	8
killed including sleep landslide hit india heavy downpour india triggered landslide	test	4
dlf foundation philanthropic arm realty giant dlf sends kg relief supply flood hit jammu amp kashmir p	test	6
president cautious quake kill chile chile president bachelet cautious tsunami threat quake kill north	train	2
heart go india nepal praying everyone well condolence departed soul	train	10
guy need non biased advice better nokia asha aman ki asha	test	0
received news earthquake stay strong people let u pray	train	2
clarify point made hearing photo cdc guideline treatment	train	8
begun mers disease screening passenger begin airport	train	5
nightmare waiting happen quake expert gathered nepal week ago	test	10
pm condoles loss life odisha flood	train	4
consumer council prepare cyclone pam	train	9
thought community amp emergency responder battling	train	7
indian railway open reservation counter delhi intl airport provide ticket evacuee	train	10
got know relief material sent sikkim nepal taxed nepal custom	train	10
hi wondering share link fundraising help devastated vanuatu	train	9
hagupit death toll rising storm buffeted philippine day weakened monday rumbled fro	train	7
already follower catch post later	train	4
executive killed nepal earthquake hiking everest via	train	10
vanuatu president call help cyclone destruction vanuatu england gbr li	train	9
train service premier announced earlier flood victim kashmir transport excess water arabian sea	train	6
apparently someone brampton hospital ebola someone went west africa recently disease reached canada	train	8
gilani helping kashmiri affected flood name derived wa	test	6
health service child broken please help unicef deploy emergency clinic	train	9
monsoon flood hit north india village water thousand marooned village w	train	4
devastating flood jammu amp kashmir fear epidemic loom large rescue oprtsn briefly hit due rain vly	train	6
search amp rescue team including dog search survivor nepal	train	10
pagasa typhoon ruby heading towards masbate	train	7
odisha flood kill leave villager marooned let u make boom	train	4
national highway connecting flood hit valley region restored vehicular traff	train	6
cyclone pam nears vanuatu impressive storm	train	9
two plane headed cyclone zone sky news australia	test	9
earthquake rock northern california	dev	1
miracle rescue see baby pulled safely quake rubble nepal	train	10
dead flood wash away home nepal india monsoon flood nepal india death maroon village sweep away	test	4
holidaymaker take shelter battered hurricane via	train	3
work suspended gov agency provide basic health service disaster response	train	7
china flatten mountain	train	10
view space earthquake island earthsky	train	0
watch live napa city official holding news conference give update damage recovery watch	train	1
prayer one stuck flood kashmir	train	6
guess puma amp signed andy warhol	train	0
kashmir flood defence force heroic expose separatist intellectual defence security force h	test	6
cancelled flight due naia terminal saturday december via	train	7
patient nina pham moved bethesda md treatment	train	8
love hair colour icon pic want mom say well love lt	train	2
update earthquake rock northern california	train	1
chile earthquake prompt break woman prison abc news via	train	2
best part pam field love daughter	train	9
donated help nepal get clean water anything help	train	10
heart prayer go everyone nepal country affected earthquake god bless	dev	10
experimental ebola treatment seems working	train	8
together stop prevention tip	train	8
question asked morning man wearing protective gear transporting latest patient	dev	8
j amp k flood air india declares free travel trapped tourist	train	6
estudiando ando ando molestar home sweet home	train	2
get greater yet find	train	4
update stranded due passenger vessel motor bancas rolling cargo via	train	7
huge earthquake nepal probably killing thousand people talking bruce jenner	train	10
nepal quake stress importance research early prediction earthquake resistant bldg design municipal law	train	10
kashmir flood footage srinagar city sep	train	6
congress want kashmir flood declared national calamity never demanded uttarakhand flood congress anti hindu anti	train	6
one main concern happen several thousand building already damaged last earthquake	train	2
rescue worker begin relief clean operation vanuatu following	train	9
help support people flood effected area camp markaz quba htt	train	6
km w iquique chile	train	2
flood trap thousand kashmir region army air force troop working rescue thousand people	train	6
first pic actionaid team nepal start responding	train	10
hafiz sayid say devastation caused pakistani flood india act water terrorism digvijay hafizji yahi g	train	6
taking moment pray impacted earthquake hit coast northern chile	train	2
ticking time bomb beneath quetta	train	0
death toll climb six chile earthquake	train	2
still moaning present condition well people trapped rubble nepal almighty	train	10
four u dead nepal u artist tour believed stranded along roadway	train	10
flood kill centre call unprecedented	train	4
lif week lima fashion week w others	train	2
flood water level rise chenab river geo news pakistan	train	6
total destruction hotel trashed	train	3
video quaid altaf hussain appeal philanthropist generous donation	train	0
want anything pls stop	train	7
boy hurt california quake dead boy badly hurt brick california quake	train	1
day earthquake boy recovered rubble alive	train	10
flood hit india uttar pradesh sugarcane crop high risk around million hectare arable land h	train	4
shaken mag aftershock strike northern chile coast massive chile earthquake	train	2
tonight battle specifically blue river regional park new caledonia bro amp point	train	9
healthcare worker exposed florida mers patient show symptom infection via	train	5
people die patient flee hospital many ebola death helping spread disease	test	8
chile earthquake tsunami information resource chile national director delivers updated report	train	2
shinee invade chicken story	train	2
unicef one best bet international disaster relief concerned send money	test	10
problem everyone want visibility everyone want sign put vanuatu slam aid agency	dev	9
dozen building uninhabitable napa earthquake	train	1
live picture bracket cyclone loss	train	9
evidence camel human transmission coronavirus	train	5
believe brave heart indian understand meaning pet dog	train	4
q someone able spread w day person show symptom	train	8
thought go post hurricaine hope everyone safe sound	train	3
usa earthquake even building seismic retrofit damaged napa earthquake janinebucks c	train	1
path hurricane odile destruction seen instagram	train	3
incredible image show baby pulled rubble hour nepal earthquake	train	10
pam courson wife jim morrison via r oldschoolcool	test	9
aftr year governance z unable save majr city punjab like sialkot multan jhang frm flood wil thy man	train	6
south sandwich island region	train	0
score killed flooding nepal india	train	4
pakistan earthquake kill hundred new island formed channel news news internation	train	0
balochistan quake death toll nears	train	0
important zero casualty pa sa samar ayon kay gov tan	train	7
nepal need help please text redcross give relief visit donate	train	10
pdma next nothing resource help people ask need exactly	test	0
saudi arabia announced four death mers coronavirus new infection battle contain mystery disease	train	5
chilean president michelle bachelet declares area hit quake emergency zone travel region tomorro	dev	2
heard earthquake coast chile hope south american friend fan safe	train	2
gold mexico stuck w little food amp electricity please help get u home u usa baseball team	train	3
cnn magnitude earthquake slam nepal dead authority say	train	10
california earthquake bay area pick piece strongest quake year cnn cnncalifornia earthqu	train	1
jammu kashmir highway got ravaged due flood restored day army	train	6
assistance needed los cabos mexico please send help	train	3
magnitude earthquake occurred mi sw napa california detail map	train	1
national park appeal nepal aid national park strong link british army nepalese ghurkha	train	10
haiyan like threat philippine	dev	7
usa news hot news earthquake damage northern california earthquake could reach billion	train	1
phr innocent allah k bande ajana haa	train	0
earthquake california napa shaken bay area stirred economist blog	train	1
world least people reported killed nepal amp india flood day torrential rain	train	4
hey cnn earthquake chile supreme court made okay buy election put flt crack	dev	2
africa naija youth let u send message pres obama help u dis ebola disease america dey find cure	train	8
chevron worker slept concrete floor cardboard cyclone olwyn ripped worker chevron wheat	train	9
flooding nepal india kill least people still missing via	train	4
hagupit intensifies typhoon enter par thursday sun star via	train	7
month ago modi said nepal like india extended family today action speaking louder word	dev	10
question deadly middle eastern virus showed indiana deadly middle east viru	train	5
rick foxx gon fine forever kind like pam grier	train	9
stay inform hundred dead monsoon brings chaos northern india nepal heavy rain stay inform	train	4
among nepal earthquake survivor israeli gay men surrogate baby	train	10
hahaha till month back gentleman questioning mm silence amp lack communication press	train	8
def better chile earthquake ready pulag climbed glacier yesterday still believe	train	2
good morning getting chile criminal probe gm recall numbe	train	2
category storm barrel toward island tropical cyclone pam one strongest storm seen south p	dev	9
clean california quake injures	train	1
flood water submerge part kashmir dead donetsk ukraine ap strong explosion heard early sund	dev	6
check justice flood victim pakistan animoto	train	6
american past year killed gun violence k flu pneumonia k cancer k heart disease	train	8
napa earthquake affected bay area sleeper south napa earthquake strongest hit norther	train	1
establishes fund assistance relief victim	train	0
cyclone pam vanuatu run food week	train	9
country million nuclear power afraid poor persecuted minority millio	train	0
pakistani troop expand rescue flood hit area	train	6
lead crowd st peter praying hail mary victim earthquake nepal	train	10
new magnitude earthquake strike northern chile following magniitude jolt region	train	2
resident report mysterious flash sky napa earthquake	test	1
u well aware state country learn needed prep give peace mind	train	0
prayer go cabo resident today	train	3
poonch river serious flood azad jammu amp kashmir	train	6
monsoon kill hundred india nepal dozen people killed	dev	4
another new island appeared along coastal belt balochistan omrara pasni near river sabal due	dev	0
latest news iran negotiation vanuatu storm debt ceiling sale	train	9
first case mers cov reported indiana center disease control prevention say	dev	5
outsource software flood india contemplation put ancestry service liability prestigious	train	4
central california september gmt	train	0
latest nepal quake death toll country gmt	train	10
strong wind cebu shock creepy	test	7
hope marriage exactly like pam jim	train	9
waking going bed view like	train	4
northern california rocked powerful earthquake since latin american herald tribune	train	1
negativity zimbabwean disease global epidermic avoid like ebola	dev	8
flood victim chant soon end speech leaf relief camp multan	train	6
killed near government employee pakistani police official say ap	test	0
chile got hit massive earthquake today make sure take moment pray everyone today	train	2
flood submerge cane field north india reuters heavy monsoon rain india	train	4
nepal quake number organisation accepting online donation read pl	train	10
statement travel transport relation ebola virus disease evd outbreak august pm	train	8
people killed strike consecutive day yet none name known	train	0
quake napa winemaker react shaking ass damage	train	1
seen pic vanuatu body bag back ute casualty let u hope stay low	dev	9
help people los cabos hurricane odile fun amazing event http	train	3
really suffering hella flood recently cunt india area kashmir effected though	test	6
raider help napa earthquake recovery effort	train	1
good know hope watching tv anything related kashmir flood bad time	train	6
california wine country rocked quake dozen hurt napa calif reuters magn	train	1
center disease control cdc head say inevitable ebola virus come america	train	8
thousand r worker working day n night rescue thousand people trapped flood kudos	train	6
nd nurse come emory treatment detail arrival	train	8
mers virus symptom global epidemic yet say drink camel urine via patrick frye	train	5
teachable moment magnitude earthquake pakistan	train	0
good question man plain clothes seen boarding ebola patient flight	train	8
facebook came w worried friend popped feed	test	10
r fabulous job amp v r proud question tb impact lung organ also	train	8
india try wipe tear lucky pm	train	10
compare typhoon path forecast pagasa project noah w jtwc	train	7
tamil nadu cm j jayalalithaa give r crore relief grant people jammu kashmir batttling worst flood	train	6
two c globemaster iii loaded medical supply hindon n wd taking	train	10
followme gt disease fear rise nepal flood toll pass	train	4
earth quake nepal	train	10
cm direction truck emergency response item balochistan victim sent	test	0
shut tf homework get done smh	train	4
praying getting many earthquake please stay safe heart	test	2
coronavirus symptom include fever coughing shortness breath congestion nose throat case diarrhea	test	5
fuck super typhoon hit philippine sustained wind mph gust mph	dev	7
nuke expert want california plant closed earthquake worry	dev	1
typhoon slightly weakened continues move wnw towards easternnorthern samar area via	train	7
tropical cyclone pam becomes category super cyclone	train	9
monsoon flood nepal india death maroon village sweep away stra via	train	4
good see day trying get	train	7
damage california quake could top billion	train	1
california earthquake assessment consequence preparation catastrophic california earthquake f	train	1
napa earthquake woke many jawbone wearer	train	1
powerful earthquake kill hundred nepal	train	10
brace resilience measure typhoon approach	dev	7
yay pam baby	train	9
since sunday served meal snack amp provided overnight stay shelter still	train	1
t moving w nw kph expected exit par thursday morning december via	train	7
chief defends kashmir flood response	train	6
vanuatu president cyclone appeal	dev	9
nature ochry brass unwritten precious metal insistence regard india inflooding back station fl	train	4
third case mers confirmed center disease contr	train	5
cyclone pam leaf trail destruction pacific vanuatu	train	9
established flood effected region	train	6
one way help odile victim	train	3
infectious disease expert concerned mutating becoming airbornec	train	8
wake morning piss excellence	train	4
clinician amp health official must watch symptom patient recently traveled near arabian peninsul	test	5
flood claim life village hit toll uttar prade	train	4
pakistan earthquake region struck independent independentpakistan earthquake region	train	0
new post napa valley quake nature plate boundary california	train	1
easy get caught bubble shit happening nepal baltimore way important tha	train	10
let u pray chile let heart open	train	2
breaking spontaneous protest happening right outside whitehouse holding sign young conservative	train	8
honour killing girl shot dead father	train	4
hundred dead monsoon hit india nepal	test	4
nepal earthquake teen pulled rubble alive five day disaster n	train	10
resident reinforces roof home legazpi city via	train	7
death toll day flooding torrential rain nepal india rise people local official say	dev	4
lakh indian muslim registered go iraq many reg go kashmir rescue flood victim	dev	6
dozen killed monsoon flood ravage india nepal people killed fl	train	4
whatever pause hashtag pray nepal baltimore stop actually pray	train	10
wish pam beesly	train	9
nearly one million resident forced evacuate following earthquake chile coast	train	2
c flight w shelter kit amp solar lantern way help victim h	train	9
deputy presidential spokesperson suspension work government office tom december stay safe every	train	7
yale research student admitted yale new hospital ct last night w ebola like symptom returned	train	8
thought prayer friend damage fear california take care folk	train	1
sent people medical aid worker search amp rescue people	train	10
great opportunity help provide clean fresh water baja	test	3
emergency mgmt lesson california earthquake	train	1
googletrend ufc bristolpalin michiganstatebasketball pi cinderella fridaythe th vanuatu	train	9
say te amo con todo mi corazon lt	train	2
dead k evacuate typhoon slam philippine	train	7
usgs report km ne spanish spring nevada utc	train	0
earthquake chile poor people	train	2
cdc confirmed first known case deadly infectious disease mers usa	train	5
another angle current damage los cabos airport	train	3
top tt right partly cloudy nepal via	train	10
humanitarian black death amp k affected international help	train	0
update flight returned ktm stranded indian ten flight planned day personnel	train	10
list hurricane shelter baja california sur	train	3
interested video took yesterday quake damage downtown napa see news	train	1
jammu kashmir flood narendra modi government asks jammu kashmir government post list rescued people	train	6
anyone else feel earth tremor	train	0
breaking magnitude earthquake strike northern	dev	2
cnn magnitude quake hit nepal near kathmandu	test	10
far cry dev team raising fund relief effort nepal learn help	test	10
hilarious joke pm said prime minister acting like dehate woman	test	0
napa earthquake bay area major fault quiet largest quake since loma prieta	train	1
patient middle east question mind regular flu gok god know	train	5
heart work helping people crisis tell	test	10
wow beautifully captured serenity nature	train	4
facebook google help find nepal earthquake survivor	train	10
many dead india flood august last updated many villager	train	4
tryin hard laugh pam got hot comb hair	test	9
water flood uttar pradesh india bubblews via	dev	4
deadly magnitude earthquake strike coast chile	train	2
picture deadly kashmir flood	train	6
forget cost aftermath eg prof lesley hughes amp	train	9
red cross responding storm caused extensive damage south pacific island donate	train	9
truck carrying supply earthquake victim stopped securityforces localngo spo	train	0
none army working quake hit area	train	0
hundred dead monsoon hit india nepal	train	4
unfortunate man world earthquake	test	0
immense gratitude tremendous tremendous selfless work done army rescue operator	train	6
prayer big thing	test	7
let u country prepares typhoon f please keep safe mga kababayans	train	7
sindh govt sends flood relief aid punjab r crore today may relief effort pick steam	train	6
california winemaker cleaning quake	test	1
lamp public light electric pole solar crucial role disaster	train	10
km mi n ocotillo ca	train	0
opinion real lesson	train	7
nurse contractd calld flight	train	8
kodiak island region alaska	train	0
countless business winery restaurant incurred damage result magnitude earthquake near napa california	train	1
punjab relief activity area full swing relief camp setup facilitate affectees	train	6
ex australian pm kevin rudd helping flood victim v	train	6
stay safe god care cto	train	7
conceivable say may cat near landfall philippine jtwc come around	train	7
airline eliminating baggage cost bring supply people cabob	train	3
pg lobby board college new caledonia	train	9
usgs upgrade magnitude earthquake chile coast chilean agency report	train	2
heavy rain across northeast indiana northwest ohio numerous flood advisory effect	dev	4
km wsw whittier alaska	train	0
sunday bloody sunday thought today brave people	train	0
hundred dead monsoon hit india nepal	train	4
donate help get emergency supply family hit	train	10
quakefactor southern alaska sunday september utcsunday septemb	test	0
ebola disease death sentence fashola governor babatunde fashola lagos state friday said	test	8
god hand typhoon make landfall philippine	train	7
earthquake km wsw iquique chile earthquake advisory	train	2
resident medical provider question mers cov call il state hotline h	test	5
april magnitude earthquake hit chile today mag strike mexico related	train	2
building code preparedness play key role reducing impact good example	train	2
usa score aftershock napa earthquake felt way usa official warned	train	1
news yachtaid global providing hurricane odile assistance	train	3
two case mers confirmed u airport warning travelors warning sign next	train	5
rachel maddow report massive category five cyclone cyclone pam ripping island nation v	train	9
nepal flood landslide kill india promise monetary aid detail	train	4
lashing rain strong wind hit philippine typhoon approach coast	train	7
p noy preparation failure unforgivable	train	7
fm dunya personally received maldivian arrived last night maldivian flight dhaka	dev	10
sad situation todossantos following impact say city administrator least one injured widespread damage	train	3
tropical cyclone pam slam vanuatu report entire village wiped	train	9
quezon city suspends class level tomorrow dec public private via	train	7
nepal india begin relief effort monsoon flood claim least life helicopter	train	4
panic srinagar jehlum breach bank several place flood enters residential house	train	6
gov discussing route bring good dolores afp prepositioned c airlift supply borongan	train	7
cyclone pam like bomb	dev	9
look napa earthquake help	test	1
cyclone nathan made landfall ne australia queensland knot min jtwc strong cat equiv hurricane	dev	9
prevention one way prevent ebora disease called ebola put little salt	train	8
congress urge pm modi declare jammu kashmir flood national calamity leader	train	6
apparently hurricane australia named pam df pam bich	train	9
watching news coverage relief team great awesome job thre	dev	0
eight dead pam slam vanuatu eight people confirmed dead cyclone pam vanuatu fear dozen	train	9
earthquake rock chile snooki amp star tweet prayer northern coast chile hit hard april	dev	2
damage nepal massive take long recover tragedy	train	10
breaking news someone suspected symptom south western college	train	8
earthquake mb km wsw iquique chile	dev	2
batangas province december special non working day province via	dev	7
usgs report km ene shandon california utc	train	1
india tent life tiger land sport nepal frontier inglis chromos	train	10
pm today located west philippine sea expected leave par early thurs morning	train	7
